rank,name,lowercase,gender,source_name,source,source_priority,frequency_code,source_row
218,Juhi,juhi,F,Juhi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
219,Manu,manu,?,Manu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
220,Mina,mina,F,Mina,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
221,Nani,nani,F,Nani,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
222,Prit,prit,?M,Prit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
223,Raju,raju,M,Raju,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
224,Rana,rana,M,Rana,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
225,Rasa,rasa,M,Rasa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
226,Rina,rina,F,Rina,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
227,Rosa,rosa,F,Rosa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
228,Rupa,rupa,F,Rupa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
229,Shan,shan,M,Shan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
230,Siri,siri,M,Siri,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
231,Sita,sita,F,Sita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
232,Soma,soma,F,Soma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
233,Sona,sona,F,Sona,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
234,Urmi,urmi,F,Urmi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
235,Viny,viny,?,Viny,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
236,Akash,akash,M,Akash,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
237,Amala,amala,F,Amala,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
238,Anjan,anjan,?,Anjan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
239,Ankit,ankit,M,Ankit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
240,Arjun,arjun,M,Arjun,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
241,Badri,badri,M,Badri,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
242,Basra,basra,F,Basra,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
243,Bindu,bindu,F,Bindu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
244,Daler,daler,M,Daler,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
245,Ganga,ganga,F,Ganga,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
246,Hayat,hayat,M,Hayat,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
247,Heena,heena,F,Heena,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
248,Himel,himel,M,Himel,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
249,Igbal,igbal,M,Igbal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
250,Janki,janki,F,Janki,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
251,Jimmy,jimmy,M,Jimmy,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
252,Jiwan,jiwan,M,Jiwan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
253,Kabal,kabal,M,Kabal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
254,Kapil,kapil,M,Kapil,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
255,Karan,karan,M,Karan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
256,Karma,karma,M,Karma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
257,Kevin,kevin,M,Kevin,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
258,Latha,latha,F,Latha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
259,Meeta,meeta,F,Meeta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
260,Muthu,muthu,M,Muthu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
261,Najma,najma,F,Najma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
262,Nanam,nanam,M,Nanam,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
263,Neelu,neelu,F,Neelu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
264,Neeti,neeti,F,Neeti,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
265,Nidhi,nidhi,F,Nidhi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
266,Nihal,nihal,M,Nihal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
267,Niroy,niroy,M,Niroy,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
268,Preet,preet,?M,Preet,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
269,Prmod,prmod,M,Prmod,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
270,Punit,punit,M,Punit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
271,Rajah,rajah,M,Rajah,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
272,Ramon,ramon,M,Ramon,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
273,Rathy,rathy,?M,Rathy,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
274,Ricky,ricky,M,Ricky,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
275,Sahib,sahib,M,Sahib,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
276,Seeta,seeta,F,Seeta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
277,Shail,shail,?M,Shail,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
278,Shana,shana,F,Shana,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
279,Sneha,sneha,F,Sneha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
280,Sobha,sobha,F,Sobha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
281,Sohan,sohan,M,Sohan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
282,Srini,srini,M,Srini,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
283,Subha,subha,M,Subha,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
284,Subir,subir,M,Subir,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
285,Sujit,sujit,M,Sujit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
286,Sumit,sumit,M,Sumit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
287,Suraj,suraj,M,Suraj,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
288,Surat,surat,M,Surat,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
289,Suryo,suryo,M,Suryo,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
290,Tarun,tarun,M,Tarun,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
291,Thiru,thiru,M,Thiru,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
292,Tulsa,tulsa,F,Tulsa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
293,Udaya,udaya,F,Udaya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
294,Umesh,umesh,M,Umesh,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
295,Urmil,urmil,F,Urmil,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
296,Utpal,utpal,M,Utpal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
297,Uttam,uttam,M,Uttam,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
298,Vidhu,vidhu,M,Vidhu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-7,
299,De,de,?,De,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
300,Po,po,?,Po,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
301,Ana,ana,F,Ana,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
302,Deb,deb,M,Deb,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
303,Iva,iva,F,Iva,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
304,Joy,joy,M,Joy,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
305,Kum,kum,?,Kum,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
306,Man,man,?,Man,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
307,Naz,naz,F,Naz,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
308,Omi,omi,F,Omi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
309,Rao,rao,?,Rao,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
310,Sai,sai,?,Sai,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
311,Som,som,M,Som,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
312,Aron,aron,M,Aron,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
313,Bajo,bajo,M,Bajo,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
314,Dara,dara,F,Dara,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
315,Debi,debi,?F,Debi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
316,Dodo,dodo,?M,Dodo,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
317,Dola,dola,F,Dola,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
318,Guna,guna,F,Guna,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
319,Hedy,hedy,F,Hedy,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
320,Hela,hela,F,Hela,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
321,Huma,huma,F,Huma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
322,Inga,inga,F,Inga,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
323,Iren,iren,F,Iren,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
324,Jara,jara,F,Jara,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
325,Jeng,jeng,?,Jeng,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
326,Jora,jora,F,Jora,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
327,Kant,kant,M,Kant,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
328,Loga,loga,?,Loga,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
329,Mall,mall,F,Mall,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
330,Mani,mani,?M,Mani,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
331,Mano,mano,M,Mano,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
332,Neva,neva,F,Neva,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
333,Nila,nila,F,Nila,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
334,Nini,nini,F,Nini,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
335,Nira,nira,F,Nira,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
336,Nita,nita,F,Nita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
337,Nitu,nitu,M,Nitu,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
338,Rabi,rabi,M,Rabi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
339,Ramo,ramo,M,Ramo,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
340,Rati,rati,?F,Rati,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
341,Robi,robi,M,Robi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
342,Roli,roli,F,Roli,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
343,Seno,seno,M,Seno,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
344,Shiv,shiv,M,Shiv,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
345,Simi,simi,F,Simi,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
346,Suma,suma,F,Suma,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
347,Taru,taru,F,Taru,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
348,Thea,thea,F,Thea,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
349,Tila,tila,F,Tila,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
350,Vira,vira,F,Vira,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
351,Aneel,aneel,M,Aneel,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
352,Anuja,anuja,F,Anuja,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
353,Barin,barin,?,Barin,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
354,Bijan,bijan,F,Bijan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
355,Frida,frida,F,Frida,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
356,Gidda,gidda,F,Gidda,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
357,Gowri,gowri,F,Gowri,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
358,Gunta,gunta,F,Gunta,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
359,Humam,humam,M,Humam,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
360,Humpy,humpy,?F,Humpy,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
361,Jeeva,jeeva,M,Jeeva,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
362,Jenny,jenny,F,Jenny,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
363,Jerad,jerad,M,Jerad,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
364,Johny,johny,M,Johny,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
365,Kajal,kajal,F,Kajal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
366,Kanth,kanth,M,Kanth,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
367,Kukoo,kukoo,?,Kukoo,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
368,Lucky,lucky,?,Lucky,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
369,Mabel,mabel,F,Mabel,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
370,Malay,malay,M,Malay,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
371,Manya,manya,F,Manya,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
372,Menka,menka,F,Menka,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
373,Merra,merra,F,Merra,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
374,Minal,minal,F,Minal,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
375,Monia,monia,F,Monia,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
376,Myrna,myrna,F,Myrna,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
377,Navin,navin,M,Navin,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
378,Nazar,nazar,M,Nazar,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
379,Needa,needa,F,Needa,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
380,Nikki,nikki,F,Nikki,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
381,Panna,panna,F,Panna,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
382,Phera,phera,?,Phera,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
383,Ranga,ranga,M,Ranga,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
384,Rohan,rohan,M,Rohan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
385,Sagar,sagar,M,Sagar,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
386,Saini,saini,F,Saini,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
387,Sarai,sarai,F,Sarai,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
388,Seena,seena,F,Seena,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
389,Seita,seita,F,Seita,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
390,Shiva,shiva,M,Shiva,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
391,Shoba,shoba,F,Shoba,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
392,Shyan,shyan,M,Shyan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
393,Sinan,sinan,M,Sinan,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
394,Sunit,sunit,M,Sunit,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
395,Sunny,sunny,M,Sunny,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
396,Suren,suren,M,Suren,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
397,Taran,taran,M,Taran,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
398,Vanda,vanda,F,Vanda,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
399,Veera,veera,F,Veera,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
400,Vipul,vipul,M,Vipul,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
401,Virag,virag,M,Virag,Matthias Winkelmann / Jorg Michael firstname-database; India/Sri Lanka column,1,-8,
402,Aabid,aabid,,aabid,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,2
403,Aadil,aadil,,aadil,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,6
404,Aahim,aahim,,aahim,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,15
405,Aajad,aajad,,aajad,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,16
406,Aajiv,aajiv,,aajiv,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,17
407,Aakar,aakar,,aakar,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,19
408,Aakas,aakas,,aakas,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,20
409,Aakib,aakib,,aakib,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,22
410,Aalam,aalam,,aalam,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,23
411,Aamil,aamil,,aamil,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,26
412,Aamin,aamin,,aamin,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,27
413,Aamir,aamir,,aamir,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,29
414,Aamod,aamod,,aamod,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,30
415,Aanad,aanad,,aanad,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,33
416,Aanik,aanik,,aanik,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,37
417,Aanil,aanil,,aanil,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,38
418,Aansi,aansi,,aansi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,39
419,Aansu,aansu,,aansu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,40
420,Aanya,aanya,,aanya,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,41
421,Aarav,aarav,,aarav,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,44
422,Aarif,aarif,,aarif,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,46
423,Aarju,aarju,,aarju,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,49
424,Aas,aas,,aas,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,52
425,Aasa,aasa,,aasa,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,53
426,Aash,aash,,aash,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,54
427,Aasha,aasha,,aasha,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,55
428,Aashi,aashi,,aashi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,56
429,Aashu,aashu,,aashu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,64
430,Aasif,aasif,,aasif,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,65
431,Aasim,aasim,,aasim,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,66
432,Aasma,aasma,,aasma,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,68
433,Aasto,aasto,,aasto,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,71
434,Aasu,aasu,,aasu,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,72
435,Aatam,aatam,,aatam,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,73
436,Aatif,aatif,,aatif,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,74
437,Aatir,aatir,,aatir,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,76
438,Aazad,aazad,,aazad,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,82
439,Abash,abash,,abash,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,84
440,Abbal,abbal,,abbal,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,85
441,Abbas,abbas,,abbas,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,86
442,Abdul,abdul,,abdul,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,87
443,Abhi,abhi,,abhi,balasahebgulave/Dataset-Indian-Names Indian_Names.csv,2,,95
